,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
65,Q2066541,Radom-Sadków Airport,EPRA,RDO,201601,21.213611111111,51.389166666667,186,2000,0,9903,https://www.ulc.gov.pl/_download/regulacja_rynku/statystyki/2019/wg_portow_lotniczych_4kw2019.pdf,https://en.wikipedia.org/wiki/Warsaw_Radom_Airport,RDO,EPRA,9,,(2016)
66,Q1107152,Wrocław – Copernicus Airport,EPWR,WRO,672929,16.885833333333,51.102777777778,123,,3548016,3548016,,https://en.wikipedia.org/wiki/Copernicus_Airport_Wroc%C5%82aw,WRO,EPWR,"3,347,223","17,2",(2018)
67,Q1433282,Zielona Góra Airport,EPZG,IEG,140002,15.798611111111,52.138611111111,59,2500,33078,33078,https://www.ulc.gov.pl/_download/regulacja_rynku/statystyki/2019/wg_portow_lotniczych_4kw2019.pdf,https://en.wikipedia.org/wiki/Zielona_G%C3%B3ra_Airport,IEG,EPZG,"20,596",516,(2021)
68,Q828379,M. R. Štefánik Airport,LZIB,BTS,475503,17.212777777778,48.17,132.8930616,2950,2290242,2292712,https://www.bts.aero/o-letisku/press/tlacove-spravy/letisko-v-bratislave-vybavilo-vlani-2-29-miliona-cestujucich/,https://en.wikipedia.org/wiki/Bratislava_Airport,BTS,LZIB,"1,406,284",24,(2022)
69,Q777774,Košice International Airport,LZKZ,KSC,229040,21.241111111111,48.663055555556,230.124453,,555325,590919,https://www.viennaairport.com/unternehmen/presse__news/presseaussendungen__news_2?news_beitrag_id=1578990620436,https://en.wikipedia.org/wiki/Ko%C5%A1ice_International_Airport,KSC[1],LZKZ[1],"539,749","4,398",(2022)
70,Q1432421,Poprad-Tatry Airport,LZTT,TAT,49855,20.241111111111,49.073611111111,718,,88387,88542,,https://en.wikipedia.org/wiki/Poprad%E2%80%93Tatry_Airport,TAT,LZTT,,,
71,Q1432898,Sliač Airport,LZSL,SLD,4980,19.134166666667,48.638055555556,305,,,41866,https://ec.europa.eu/eurostat/web/products-datasets/-/avia_tf_apal,https://en.wikipedia.org/wiki/Slia%C4%8D_Airport,SLD,LZSL,,,
72,Q1109558,Ljubljana Jože Pučnik Airport,LJLJ,LJU,284293,14.456111111111,46.224444444444,388,3300,1721355,1812411,https://www.fraport.com/content/dam/fraport-company/documents/investoren/eng/finanz--und-verkehrszahlen/verkehrszahlen/group/2019/fraport-group-traffic-figures-12_2019.xlsx/_jcr_content/renditions/original.media_file.download_attachment.file/fraport-group-traffic-figures-12_2019.xlsx,https://en.wikipedia.org/wiki/Ljubljana_Jo%C5%BEe_Pu%C4%8Dnik_Airport,LJU,LJLJ,"970,152","21,571",(2022)
73,Q1030725,Maribor Edvard Rusjan Airport,LJMB,MBX,96211,15.686111111111,46.48,267,2500,,85000,,https://en.wikipedia.org/wiki/Maribor_Edvard_Rusjan_Airport,MBX,LJMB,"2,435",,(2018)
74,Q156971,EuroAirport Basel-Mulhouse-Freiburg,LFSB,EAP,231848,7.5291666666667,47.59,269.748531,3900,9090312,9090312,https://www.aeroport.fr/uploads/documents/conference%20de%20presse/DOSSIER%20DE%20PRESSE_STATS_2018_def.pdf,https://en.wikipedia.org/wiki/EuroAirport_Basel_Mulhouse_Freiburg,"BSL, MLH, EAP[1]",LFSB,"3,613,074","56,156",(2021[2])
75,Q619845,Bern Airport,LSZB,BRN,133883,7.499167,46.912222,510,1730,35787,258543,https://www.pxweb.bfs.admin.ch/pxweb/fr/px-x-1107020000_102/px-x-1107020000_102/px-x-1107020000_102.px/table/tableViewLayout2/?rxid=9100d307-0155-4d13-8d61-868d2d264b74,https://en.wikipedia.org/wiki/Bern_Airport,BRN,LSZB / LSMB,"6,022","44,651",(2021[1])
76,Q289972,Geneva International Airport,LSGG,GVA,201818,6.10921,46.23756,430,3900,17926629,17926629,https://www.gva.ch/fr/Downloads/Aeroport/2021_Statistiques-Geneve-Aeroport.pdf,https://en.wikipedia.org/wiki/Geneva_Airport,GVA,LSGG,"14,085,282","163,168",(2022[2])
77,Q661389,Lugano Airport,LSZA,LUG,63185,8.910278,46.003611,278.892549,1420,,383585,https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/themes-transversaux.assetdetail.6146617.html,https://en.wikipedia.org/wiki/Lugano_Airport,LUG,LSZA,"97,375","18,306",(2018)
78,Q687463,Sion Airport,LSGS,SIR,34708,7.3269444444444,46.219166666667,482.1945492,2000,,15161,https://dam-api.bfs.admin.ch/hub/api/dam/assets/21124581/master,https://en.wikipedia.org/wiki/Sion_Airport,SIR,LSGS / LSMS,"35,929","43,586",(2022)
79,Q689836,St. Gallen-Altenrhein Airport,LSZR,ACH,75833,9.5619444444444,47.485,398.0695836,1455,,115710,https://www.bfs.admin.ch/bfs/fr/home/statistiques/mobilite-transports/themes-transversaux.assetdetail.6146617.html,https://en.wikipedia.org/wiki/St._Gallen%E2%80%93Altenrhein_Airport,ACH,LSZR,,,
80,Q15114,Zürich Airport,LSZH,ZRH,436332,8.5491666666667,47.464722222222,431.5976496,3700,31478748,31478748,https://www.pxweb.bfs.admin.ch/pxweb/fr/px-x-1107020000_102/px-x-1107020000_102/px-x-1107020000_102.px/table/tableViewLayout2/?rxid=9100d307-0155-4d13-8d61-868d2d264b74,https://en.wikipedia.org/wiki/Zurich_Airport,ZRH,LSZH,"22,561,132","216,585",(2022)
81,Q27048,Brest Airport,UMBB,BQT,,23.898055555556,52.108333333333,143,2620,,4197,,https://en.wikipedia.org/wiki/Brest_Airport,BQT,UMBB,,,
82,Q27546,Gomel Airport,UMGG,GME,501802,31.016666666667,52.526944444444,143,2570,,,,https://en.wikipedia.org/wiki/Gomel_Airport,GME,UMGG,,,
83,Q27049,Hrodna Airport,UMMG,GNA,358717,24.053888888889,53.601944444444,120,2548,,180145,,https://en.wikipedia.org/wiki/Grodno_Airport,GNA,UMMG,,,
84,Q1373238,Minsk-1 Airport,UMMM,MHP,1995471,27.539722222222,53.864444444444,228,,,,,https://en.wikipedia.org/wiki/Minsk-1_Airport,MHP,UMMM,,,
85,Q777855,Minsk National Airport,UMMS,MSQ,1995471,28.0325,53.8825,203.9116014,3641,5101766,5101766,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_the_former_USSR,https://en.wikipedia.org/wiki/Minsk_National_Airport,MSQ,UMMS,"5,101,766",,(2019[2])
86,Q844951,Chișinău International Airport,LUKK,KIV,639000,28.930833333333,46.927777777778,122,3590,2995530,2995530,https://www.caa.md/rom/statistics/,https://en.wikipedia.org/wiki/Chi%C8%99in%C4%83u_International_Airport,KIV,LUKK,"2,995,530","27,092",(2019)
87,Q762179,Belgorod International Airport,UUOB,EGO,391702,36.59,50.643333333333,224,,,582534,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_Russia,https://en.wikipedia.org/wiki/Belgorod_International_Airport,EGO,UUOB,582.531,,(2021)
88,Q1995004,Ivanovo Yuzhny Airport,UUBI,IWA,401505,40.933333333333,56.941666666667,125,,,68125,https://www.favt.ru/dejatelnost-ajeroporty-i-ajerodromy-osnovnie-proizvodstvennie-pokazateli-aeroportov-obyom-perevoz/,https://en.wikipedia.org/wiki/Ivanovo_Yuzhny_Airport,IWA,UUBI,,,
89,Q4147325,"""Kaluga"" (Grabtsevo) Airport",UUBC,KLF,331842,36.368889,54.546667,203,,,200133,,https://en.wikipedia.org/wiki/Kaluga_(Grabtsevo)_Airport,KLF,UUBC,,,
