,destination,canonical_destination
6704,https://en.wikipedia.org/wiki/Tan_Son_Nhat_International_Airport,https://en.wikipedia.org/wiki/Tan_Son_Nhat_International_Airport
6760,https://en.wikipedia.org/wiki/Reno-Tahoe_International_Airport,https://en.wikipedia.org/wiki/Reno%E2%80%93Tahoe_International_Airport
6765,https://en.wikipedia.org/wiki/Lambert_International_Airport,https://en.wikipedia.org/wiki/St._Louis_Lambert_International_Airport
6791,https://en.wikipedia.org/wiki/Charles_M._Schulz_Sonoma_County_Airport,https://en.wikipedia.org/wiki/Charles_M._Schulz%E2%80%93Sonoma_County_Airport
6798,https://en.wikipedia.org/wiki/Medford_Airport,https://en.wikipedia.org/wiki/Rogue_Valley_International%E2%80%93Medford_Airport
6801,https://en.wikipedia.org/wiki/Provo_Airport,https://en.wikipedia.org/wiki/Provo_Municipal_Airport
6830,https://en.wikipedia.org/wiki/Reno/Tahoe_International_Airport,https://en.wikipedia.org/wiki/Reno%E2%80%93Tahoe_International_Airport
6913,https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport,https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport
6933,https://en.wikipedia.org/wiki/Boston_Logan_Airport,https://en.wikipedia.org/wiki/Logan_International_Airport
6942,https://en.wikipedia.org/wiki/San_Luis_Valley_Regional_Airport,https://en.wikipedia.org/wiki/San_Luis_Valley_Regional_Airport
6943,https://en.wikipedia.org/wiki/Alliance_Municipal_Airport,https://en.wikipedia.org/wiki/Alliance_Municipal_Airport
6944,https://en.wikipedia.org/wiki/Clovis_Municipal_Airport,https://en.wikipedia.org/wiki/Clovis_Municipal_Airport
6946,https://en.wikipedia.org/wiki/Kearney_Regional_Airport,https://en.wikipedia.org/wiki/Kearney_Regional_Airport
6947,https://en.wikipedia.org/wiki/McCook_Ben_Nelson_Regional_Airport,https://en.wikipedia.org/wiki/McCook_Ben_Nelson_Regional_Airport
6948,https://en.wikipedia.org/wiki/Pierre_Regional_Airport,https://en.wikipedia.org/wiki/Pierre_Regional_Airport
6950,https://en.wikipedia.org/wiki/Watertown_Regional_Airport,https://en.wikipedia.org/wiki/Watertown_Regional_Airport
6991,https://en.wikipedia.org/wiki/Pensacola_International_Airport,https://en.wikipedia.org/wiki/Pensacola_International_Airport
7010,https://en.wikipedia.org/wiki/Central_Illinois_Regional_Airport,https://en.wikipedia.org/wiki/Central_Illinois_Regional_Airport
7011,https://en.wikipedia.org/wiki/Branson_Airport,https://en.wikipedia.org/wiki/Branson_Airport
7019,https://en.wikipedia.org/wiki/Harrisburg_International_Airport,https://en.wikipedia.org/wiki/Harrisburg_International_Airport
7023,https://en.wikipedia.org/wiki/Myrtle_Beach_International_Airport,https://en.wikipedia.org/wiki/Myrtle_Beach_International_Airport
7025,https://en.wikipedia.org/wiki/Greater_Rochester_International_Airport,https://en.wikipedia.org/wiki/Greater_Rochester_International_Airport
7026,https://en.wikipedia.org/wiki/Savannah/Hilton_Head_International_Airport,https://en.wikipedia.org/wiki/Savannah/Hilton_Head_International_Airport
7028,https://en.wikipedia.org/wiki/Syracuse_Hancock_International_Airport,https://en.wikipedia.org/wiki/Syracuse_Hancock_International_Airport
7035,https://en.wikipedia.org/wiki/Chadron_Municipal_Airport,https://en.wikipedia.org/wiki/Chadron_Municipal_Airport
7036,https://en.wikipedia.org/wiki/Pueblo_Memorial_Airport,https://en.wikipedia.org/wiki/Pueblo_Memorial_Airport
7037,https://en.wikipedia.org/wiki/Albany_International_Airport,https://en.wikipedia.org/wiki/Albany_International_Airport
7043,https://en.wikipedia.org/wiki/Birmingham%E2%80%93Shuttlesworth_International_Airport,https://en.wikipedia.org/wiki/Birmingham%E2%80%93Shuttlesworth_International_Airport
7126,https://en.wikipedia.org/wiki/Northwest_Florida_Beaches_International_Airport,https://en.wikipedia.org/wiki/Northwest_Florida_Beaches_International_Airport
7170,https://en.wikipedia.org/wiki/Greenville%E2%80%93Spartanburg_International_Airport,https://en.wikipedia.org/wiki/Greenville%E2%80%93Spartanburg_International_Airport
7180,https://en.wikipedia.org/wiki/McGhee-Tyson_Airport,https://en.wikipedia.org/wiki/McGhee_Tyson_Airport
7234,https://en.wikipedia.org/wiki/Burlington_International_Airport,https://en.wikipedia.org/wiki/Burlington_International_Airport
