,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
93,Q7399853,Saibai Island Airport,YSII,SBR,340,142.625,-9.3783333333333,3,,,,,https://en.wikipedia.org/wiki/Saibai_Island_Airport,SBR,YSII,,,
94,,,,,,,,,,,,,https://en.wikipedia.org/wiki/St._George_Airport,,,,,
95,Q7969913,Warraber Island Airport,YWBS,SYU,,142.825,-10.206666666667,6,,,,,https://en.wikipedia.org/wiki/Warraber_Island_Airport,SYU,YWBS,,,
96,Q903231,Sunshine Coast Airport,YBSU,MCY,353281,153.09166666667,-26.603333333333,4.572009,2450,1283036,1283036,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Sunshine_Coast_Airport,MCY,YBSU,"816,873","51,204",(2021-22)
97,Q6587924,Thargomindah Airport,YTGM,XTG,,143.81083333333,-27.986388888889,134,,,,,https://en.wikipedia.org/wiki/Thargomindah_Airport,XTG,YTGM,,,
98,Q3206977,Horn Island Airport,YHID,HID,,142.29,-10.586388888889,8,,,100743,https://www.bitre.gov.au/publications/ongoing/files/WebAirport_CY_1985-2018.xlsx,https://en.wikipedia.org/wiki/Horn_Island_Airport,HID,YHID,,,
99,Q2298657,Townsville Airport,YBTL,TSV,178649,146.765,-19.253333333333,5,,1610740,1616883,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Townsville_Airport,TSV,YBTL,"1,644,089",,(2010)
100,Q7980274,Weipa Airport,YBWP,WEI,3291,141.92527777778,-12.678611111111,19,,72181,80407,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Weipa_Airport,WEI,YBWP,"58,888","1,144",(2010-11[1])
101,Q8026613,Winton Airport,YWTN,WIN,875,143.085,-22.363333333333,193,,,,,https://en.wikipedia.org/wiki/Winton_Airport,WIN,YWTN,,,
102,Q8047555,Yam Island Airport,YYMI,XMY,,142.775,-9.8858333333333,4.572009,,,,,https://en.wikipedia.org/wiki/Yam_Island_Airport,XMY,YYMI,,,
