,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
302,Q1031865,Mar de Cortés International Airport,MMPE,PPE,62301,-113.30561111111,31.352,21.75,,1811,5632,https://www.gob.mx/afac/acciones-y-programas/estadistica-mensual-operativa-monthly-traffic-statistics,https://en.wikipedia.org/wiki/Mar_de_Cort%C3%A9s_International_Airport,PPE,MMPE,"1,886",,(2021)
303,Q2231542,Carlos Rovirosa Pérez International Airport,MMVA,VSA,340060,-92.817222222222,17.995,14,,1245026,1273140,http://www.sct.gob.mx/fileadmin/DireccionesGrales/DGAC-archivo/modulo5/producto-aptos-2006-2020-ene.xlsx,https://en.wikipedia.org/wiki/Villahermosa_International_Airport,VSA,MMVA,"1,214,190",,(2022)
304,Q3273846,General Pedro J. Méndez International Airport,MMCV,CVM,654876,-98.956388888889,23.703888888889,231.9532566,,50557,88686,http://www.sct.gob.mx/fileadmin/DireccionesGrales/DGAC-archivo/modulo5/producto-aptos-2006-2020-ene.xlsx,https://en.wikipedia.org/wiki/Ciudad_Victoria_International_Airport,CVM,MMCV,"15,164",,(2022)
305,Q389802,General Servando Canales International Airport,MMMA,MAM,541979,-97.525311111111,25.769894444444,7.620015,,61261,101716,http://www.sct.gob.mx/fileadmin/DireccionesGrales/DGAC-archivo/modulo5/producto-aptos-2006-2020-ene.xlsx,https://en.wikipedia.org/wiki/Matamoros_International_Airport,MAM,MMMA,"50,530",,(2022)
306,Q2231559,Quetzalcóatl International Airport,MMNL,NLD,384033,-99.570555555556,27.443888888889,147.5234904,,65471,115175,http://www.sct.gob.mx/fileadmin/DireccionesGrales/DGAC-archivo/modulo5/producto-aeropuertos-2006-2019-feb-250319.xlsx,https://en.wikipedia.org/wiki/Nuevo_Laredo_International_Airport,NLD,MMNL,"107,368",,(2022)
307,Q2232580,General Lucio Blanco International Airport,MMRX,REX,589466,-98.228611111111,26.008888888889,42.3672834,1903,480524,563952,http://www.sct.gob.mx/fileadmin/DireccionesGrales/DGAC-archivo/modulo5/producto-aptos-2006-2020-ene.xlsx,https://en.wikipedia.org/wiki/General_Lucio_Blanco_International_Airport,REX,MMRX,"518,051",,(2022)
308,Q3274478,General Francisco Javier Mina International Airport,MMTM,TAM,297284,-97.865833333333,22.296388888889,24.384048,,739143,763744,http://www.sct.gob.mx/fileadmin/DireccionesGrales/DGAC-archivo/modulo5/producto-aeropuertos-2006-2019-feb-250319.xlsx,https://en.wikipedia.org/wiki/Tampico_International_Airport,TAM,MMTM,"495,602",,(2022)
309,Q1927565,Minatitlán/Coatzacoalcos National Airport,MMMT,MTT,356020,-94.580833333333,18.103611111111,11,,148159,256431,http://www.sct.gob.mx/fileadmin/DireccionesGrales/DGAC-archivo/modulo5/producto-aeropuertos-2006-2019-feb-250319.xlsx,https://en.wikipedia.org/wiki/Minatitl%C3%A1n/Coatzacoalcos_International_Airport,MTT,MMMT,"98,544",,(2021)
310,Q3296842,El Tajín National Airport,MMPA,PAZ,200119,-97.460833333333,20.6025,151.4858982,,27083,127745,http://www.sct.gob.mx/fileadmin/DireccionesGrales/DGAC-archivo/modulo5/producto-aptos-2006-2020-ene.xlsx,https://en.wikipedia.org/wiki/El_Taj%C3%ADn_National_Airport,PAZ,MMPA,"2,666",,(2022)
311,Q3274799,General Heriberto Jara International Airport,MMVR,VER,428323,-96.187222222222,19.145833333333,27.432054,,1475581,1488569,http://www.sct.gob.mx/fileadmin/DireccionesGrales/DGAC-archivo/modulo5/producto-aeropuertos-2006-2019-feb-250319.xlsx,https://en.wikipedia.org/wiki/Veracruz_International_Airport,VER,MMVR,"1,333,578",,(2022)
