,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
80,Q1031812,Wau Airport,HSWW,WUU,,27.97500038,7.72583008,469,,,,,https://en.wikipedia.org/wiki/Wau_Airport,WUU,HSWW,,,
81,Q1911404,Yei Airport,HSYE,,,30.721388888889,4.1325,849,,,,,https://en.wikipedia.org/wiki/Yei_Airport,n/a,HSYE,,,
82,Q1433286,El Fasher Airport,HSFS,ELF,286277,25.324444444444,13.614722222222,729.3878358,,,,,https://en.wikipedia.org/wiki/El_Fasher_Airport,ELF,HSFS,,,
83,Q1433287,El Obeid Airport,HSOB,EBD,,30.2325,13.153055555556,587.3507562,,,,,https://en.wikipedia.org/wiki/El_Obeid_Airport,EBD,HSOB,,,
84,Q1301933,Atbara Airport,HSAT,ATB,139768,34.056944444444,17.709722222222,347,,,,,https://en.wikipedia.org/wiki/Atbara_Airport,ATB,HSAT,,,
85,Q1431231,Dongola Airport,HSDN,DOG,,30.43,19.153611111111,235.6108638,,,,,https://en.wikipedia.org/wiki/Dongola_Airport,DOG,HSDN,,,
86,Q3276033,Geneina Airport,HSGN,EGN,200000,22.472512,13.483478,808,,,,,https://en.wikipedia.org/wiki/Geneina_Airport,EGN,HSGN,,,
87,Q739260,Kassala Airport,HSKA,KSL,536009,36.328611111111,15.387222222222,509.3218026,,,,,https://en.wikipedia.org/wiki/Kassala_Airport,KSL,HSKA,,,
88,Q1050244,Khartoum International Airport,HSSS,KRT,5345000,32.553161111111,15.589497222222,385.572759,2980,,3501512,,https://en.wikipedia.org/wiki/Khartoum_International_Airport,KRT,HSSS,"3,600,121",,(2017)
89,Q953831,Nyala Airport,HSNN,UYL,492984,24.956125,12.066667,642,,,,,https://en.wikipedia.org/wiki/Nyala_Airport,UYL,HSNN,,,
90,Q1431022,Port Sudan New International Airport,HSPN,PZU,579942,37.234075,19.433638888889,43,2500,,,,https://en.wikipedia.org/wiki/Port_Sudan_New_International_Airport,PZU,HSSP,,,
91,Q7959222,Wadi Halfa Airport,HSSW,WHF,,31.5148123,21.8017705,292.9133766,,,,,https://en.wikipedia.org/wiki/Wadi_Halfa_Airport,WHF,HSSW,,,
92,Q1425537,Djerba–Zarzis International Airport,DTTJ,DJE,175820,10.775277777778,33.875,6,,,1969043,https://www.air-journal.fr/wp-content/uploads/classement-aeroports_info.jpg,https://en.wikipedia.org/wiki/Djerba%E2%80%93Zarzis_International_Airport,DJE,DTTJ,"1,781,000","24,392[1]","(2006,"
93,Q1431260,Enfidha–Hammamet International Airport,DTNH,NBE,,10.43861111,36.07583333,6.4008126,,1453863,2272074,http://www.enfidhahammametairport.com/en-EN/business-airlines/page/stats,https://en.wikipedia.org/wiki/Enfidha%E2%80%93Hammamet_International_Airport,NBE,DTNH,"1,453,863[1]",,(2019)
94,Q732214,Gabès – Matmata International Airport,DTTG,GAE,116323,9.92005,33.73426,7.9248156,,,,,https://en.wikipedia.org/wiki/Gab%C3%A8s_%E2%80%93_Matmata_International_Airport,GAE,DTTG,,,
95,Q2876067,Gafsa – Ksar International Airport,DTTF,GAF,111170,8.8225,34.421944444444,323,,,,,https://en.wikipedia.org/wiki/Gafsa_%E2%80%93_Ksar_International_Airport,GAF,DTTF,,,
96,Q666704,Monastir Habib Bourguiba International Airport,DTMB,MIR,104535,10.754722222222,35.758055555556,1,2903,1586860,3462157,http://habibbourguibaairport.com/en-EN/business-airlines/page/stats,https://en.wikipedia.org/wiki/Monastir_Habib_Bourguiba_International_Airport,MIR,DTMB,"1,560,000",,(2018)
97,Q2876084,Sfax–Thyna International Airport,DTTX,SFA,272801,10.690833333333,34.717777777778,26,,,,,https://en.wikipedia.org/wiki/Sfax%E2%80%93Thyna_International_Airport,SFA,DTTX,,,
98,Q1432975,Tabarka-Ain Draham International Airport,DTKA,TBJ,17425,8.8769444444444,36.98,70,,,,,https://en.wikipedia.org/wiki/Tabarka%E2%80%93A%C3%AFn_Draham_International_Airport,TBJ,DTKA,,,
99,Q656500,Tozeur–Nefta International Airport,DTTZ,TOE,21654,8.1105555555556,33.939722222222,87,,,,,https://en.wikipedia.org/wiki/Tozeur%E2%80%93Nefta_International_Airport,TOE,DTTZ,,,
100,Q1141214,Tunis–Carthage International Airport,DTTA,TUN,602560,10.227222222222,36.851111111111,6.7056132,3200,6441886,6441886,http://www.oaca.nat.tn/fileadmin/docs/DCRP.Doc/images/statistiques_2019/decembre2019/1decembre2019.jpg,https://en.wikipedia.org/wiki/Tunis%E2%80%93Carthage_International_Airport,TUN,DTTA,"6,441,886[1]",,(2019)
101,Q1431176,Dakhla Airport,GMMH,VIL,106277,-15.931944444444,23.718055555556,10.9728216,,256975,256975,https://www.onda.ma/content/download/13540/176818/version/28/fichier/Les+statistiques+du+trafic+a%C3%A9rien+du+mois+de+d%C3%A9cembre+2022.xlsx,https://en.wikipedia.org/wiki/Dakhla_Airport,VIL,GMMH/GSVO,"154,451","1,574","(2008,"
102,Q1431242,Hassan I Airport,GMML,EUN,217732,-13.219166666667,27.151666666667,63,,255640,255640,https://www.onda.ma/content/download/12764/171595/version/1/fichier/CP+trafic+ann%C3%A9e+2021+VF.pdf,https://en.wikipedia.org/wiki/Hassan_I_Airport,EUN,GMML,"255,610[1]",,(2019)
103,Q10850030,Smara Airport,GMMA,SMW,57035,-11.68444444,26.73166667,107,,,,,https://en.wikipedia.org/wiki/Smara_Airport,SMW,GMMA/GSMA,,,
104,Q856939,Cadjehoun Airport,DBBB,COO,679012,2.385,6.3558333333333,5.7912114,,471288,503633,https://aeroport-de-cotonou.bj/wp-content/uploads/2021/02/Stat-mensuel-Dec-2020.pdf,https://en.wikipedia.org/wiki/Cadjehoun_Airport,COO,DBBB,,,
105,Q1432313,Parakou Airport,DBBP,PKO,,2.609167,9.357222,385,,,,,https://en.wikipedia.org/wiki/Parakou_Airport,PKO,DBBP,,,
106,Q598661,Bobo Dioulasso Airport,DFOO,BOY,903887,-4.330833,11.16,460,,49200,49200,http://www.insd.bf/contenu/pub_periodiques/annuaires_stat/Annuaires_stat_nationaux_BF/Annuaire_Statistique_National_2019.pdf,https://en.wikipedia.org/wiki/Bobo_Dioulasso_Airport,BOY,DFOO,"18,220",,(2020)
107,Q773547,Ouagadougou Airport,DFFD,OUA,2453496,-1.512222,12.353056,96.3169896,3028,619370,619370,http://www.insd.bf/contenu/pub_periodiques/annuaires_stat/Annuaires_stat_nationaux_BF/Annuaire_Statistique_National_2019.pdf,https://en.wikipedia.org/wiki/Thomas_Sankara_International_Airport_Ouagadougou,OUA,DFFD,"245,280",,(2020)
108,Q1430965,Aristides Pereira International Airport,GVBA,BVC,12000,-22.888611111111,16.137222222222,27.73,2100,574882,574882,https://www.asa.cv/wp-content/uploads/2020/02/ASA_Boletim-de-Tr%C3%A1fego-Ano-2019-1.pdf,https://en.wikipedia.org/wiki/Aristides_Pereira_International_Airport,BVC,GVBA,"512,778","5,008",(2017[1])
109,Q2408225,São Filipe Airport,GVSF,SFL,8122,-24.48,14.885,173,1350,66464,74408,https://www.asa.cv/wp-content/uploads/2020/02/ASA_Boletim-de-Tr%C3%A1fego-Ano-2019-1.pdf,https://en.wikipedia.org/wiki/S%C3%A3o_Filipe_Airport,SFL,GVSF,72949,1418,(2017)
110,Q2011846,Maio Airport,GVMA,MMO,3056,-23.213611111111,15.155833333333,11,1200,13733,19209,https://www.asa.cv/wp-content/uploads/2020/02/ASA_Boletim-de-Tr%C3%A1fego-Ano-2019-1.pdf,https://en.wikipedia.org/wiki/Maio_Airport,MMO,GVMA,15100,351,(2017[1])
111,Q1191196,Praia International Airport,GVNP,RAI,159050,-23.484722222222,14.941111111111,95,2103,648970,662356,https://www.asa.cv/wp-content/uploads/2020/02/ASA_Boletim-de-Tr%C3%A1fego-Ano-2019-1.pdf,https://en.wikipedia.org/wiki/Nelson_Mandela_International_Airport,RAI,GVNP,"662,356[1]",11236[1],(2017)
112,Q482315,Amílcar Cabral International Airport,GVAC,SID,35267,-22.950016666667,16.737588888889,56,3000,1192828,1192828,https://www.asa.cv/wp-content/uploads/2020/02/ASA_Boletim-de-Tr%C3%A1fego-Ano-2019-1.pdf,https://en.wikipedia.org/wiki/Am%C3%ADlcar_Cabral_International_Airport,SID,GVAC,"1,192,828",14.576,(2019)
113,Q1953794,Preguiça Airport,GVSN,SNE,12700,-24.283888888889,16.588055555556,204,1400,21977,27038,https://www.asa.cv/wp-content/uploads/2020/02/ASA_Boletim-de-Tr%C3%A1fego-Ano-2019-1.pdf,https://en.wikipedia.org/wiki/S%C3%A3o_Nicolau_Airport,SNE,GVSN,"27,038",574,(2017[1])
114,Q674514,Cesária Évora Airport,GVSV,VXE,83467,-25.054722222222,16.833611111111,20,2000,253077,266221,https://www.asa.cv/wp-content/uploads/2020/02/ASA_Boletim-de-Tr%C3%A1fego-Ano-2019-1.pdf,https://en.wikipedia.org/wiki/Ces%C3%A1ria_%C3%89vora_Airport,VXE,GVSV,"253,077","3,788",(2019)
115,Q1165280,Port Bouet Airport,DIAP,ABJ,4980000,-3.9257777777778,5.2614166666667,6.4008126,3000,2271700,2271700,http://apanews.net/fr/news/aeroport-dabidjan-226-millions-de-passagers-enregistres-en-2019-officiel/,https://en.wikipedia.org/wiki/F%C3%A9lix-Houphou%C3%ABt-Boigny_International_Airport,ABJ,DIAP,"2,070,000",,(2017)
116,Q753531,Banjul International Airport,GBYD,BJL,31356,-16.652205555556,13.337961111111,29,,,,,https://en.wikipedia.org/wiki/Banjul_International_Airport,BJL,GBYD,,,
117,Q177689,Kotoka International Airport,DGAA,ACC,2388000,-0.16738888888889,5.6046666666667,62,3403,3019000,3019000,https://www.gacl.com.gh/traffic-statistics-2019/,https://en.wikipedia.org/wiki/Kotoka_International_Airport,ACC,DGAA,"2,805,347",,(2022)
