AIRPORT;AIRPORT_COUNTRY_CODE_ISO;LATITUDE;LONGITUDE
APE;PE;-15.35;-75.16666667
APF;US;26.15277778;-81.77527778
APG;US;39.46611111;-76.16972222
APK;PF;-15.56666667;-146.4166667
APL;MZ;-15.10166667;39.28722222
APN;US;45.08166667;-83.55583333
APO;CO;7.03333333;-77.2
APR;PG;-4.67361111;142.5377778
APT;US;35.06055556;-85.58527778
APV;US;34.52638889;-117.2127778
APW;WS;-13.83333333;-172
AQI;SA;28.33527778;46.125
AQJ;JO;29.6125;35.01944444
AQP;PE;-16.33777778;-71.555
AQS;FJ;-16.75;179.35
AQY;US;60.96666667;-149.1236111
AR1;US;35.26472222;-93.09388889
AR2;US;35.08083333;-92.425
ARA;US;30.03777778;-91.88388889
ARB;US;42.22277778;-83.74444444
ARC;US;68.1375;-145.5244444
ARD;ID;-8.25;124.75
ARE;PR;18.45;-66.67583333
ARG;US;36.125;-90.92638889
ARH;SU;64.56666667;40.53333333
ARI;CL;-18.33305556;-70.33805556
ARK;TZ;-3.36416667;36.62472222
ARM;AU;-30.52833333;151.6233333
ARN;SE;59.66194444;17.93388889
ARP;PG;-9.87055556;149.4836111
ARQ;CO;7.02111111;-71.38888889
ARS;BR;-15.9;-52.23333333
ART;US;43.99083333;-76.02138889
ARU;BR;-21.14361111;-50.42611111
ARV;US;45.92805556;-89.73083333
ARW;RO;46.18333333;21.26666667
ARX;US;40.18333333;-74.11666667
ARY;AU;-37.31194444;142.9905556
ARZ;AO;-7.2225;12.86861111
ASA;ET;13.07;42.63833333
ASB;SU;37.98166667;58.36083333
ASC;BO;-15.91666667;-63.15
ASD;BS;24.69777778;-77.79611111
ASE;US;39.22416667;-106.8688889
ASG;NZ;-43.905;171.7966667
ASH;US;42.77888889;-71.50944444
ASI;SH;-7.97027778;-14.39361111
ASJ;JP;28.41694444;129.6975
ASK;CI;6.90555556;-5.36416667
ASL;US;32.52166667;-94.30805556
ASM;ET;15.29111111;38.91027778
ASN;US;33.56972222;-86.05083333
ASO;ET;10.04722222;34.53666667
ASP;AU;-23.80333333;133.8841667
ASQ;US;39.46888889;-117.1961111
ASR;TR;38.70416667;35.50972222
AST;US;46.15972222;-123.88
ASU;PY;-25.23916667;-57.51916667
ASW;EG;23.965;32.82166667
ASX;US;46.54861111;-90.91861111
ASY;US;46.02388889;-99.35277778
ATA;PE;-9.34722222;-77.6
ATB;SD;17.70972222;34.05722222
ATC;BS;24.62944444;-75.67388889
ATE;US;34.19277778;-95.64972222
ATH;GR;37.93666667;23.94444444
ATI;UY;-30.4;-56.50833333
ATK;US;70.4675;-157.4519444
ATL;US;33.64083333;-84.42722222
ATM;BR;-3.25333333;-52.25305556
ATN;PG;-3.67138889;152.4363889
ATO;US;39.21083333;-82.23166667
ATP;PG;-3.1425;142.3466667
ATQ;IN;31.70694444;74.79722222
ATR;MR;20.49944444;-13.04638889
ATS;US;32.84833333;-104.4669444
ATT;US;60.8675;-162.2708333
ATU;US;52.82583333;173.1727778
ATV;TD;13.24222222;18.3075
ATW;US;44.25777778;-88.52
ATY;US;44.90888889;-97.15416667
ATZ;EG;27.04638889;31.07861111
AUA;AN;12.50222222;-70.01388889
AUC;CO;7.07027778;-70.74055556
AUD;AU;-18.50694444;139.8816667
AUG;US;44.31805556;-69.79666667
AUH;AE;24.43305556;54.64888889
AUK;US;62.68916667;-164.6108333
AUM;US;43.66444444;-92.93388889
AUN;US;38.95277778;-121.0819444
AUO;US;32.61527778;-85.43194444
AUP;PG;-9.91666667;149.3333333
AUQ;PF;-9.76666667;-139.0166667
AUR;FR;44.8975;2.41805556
BSM;US;30.19444444;-97.67
AUS;US;30.19444444;-97.67
AUW;US;44.92333333;-89.62305556
AUX;BR;-7.2;-48.2
AUY;VU;-20.25333333;169.7613889
AUZ;US;41.77083333;-88.47277778
AVB;IT;46.03194444;12.59722222
AVI;CU;22.02638889;-78.79055556
AVL;US;35.435;-82.54111111
AVN;FR;43.90722222;4.90194444
AVO;US;27.5925;-81.52694444
AVP;US;41.33916667;-75.72583333
