,Unnamed: 0,max_population,max_passengers19,maxpax,wdpa_link,lat,lon,iata,icao,ISO_country,ISO_continent,year_pax_round2,pax_round2,consolidated_pax,h3,pop_30k,airport_30k,pax_h3_30k,pop_70k,airport_70k,pax_h3_70k,pop_150k,airport_150k,pax_h3_150k,GDP PPP,Gini,Surf,toursim_export_share,visiting_tourists,outbound_tourists,IHDI,is_country_island
37,37.0,80032.0,,313953.0,https://en.wikipedia.org/wiki/Victoria_Inner_Harbour_Airport,48.4228,-123.387,YWH,CYWH,CA,NA,2017,264801,264801.0,8828d1a133fffff,364246.59838859894,2.0,291955.0,622042.972701532,5.0,2164599.0,6484182.019471075,11.0,30806585.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
38,38.0,80032.0,1852962.0,2048627.0,https://en.wikipedia.org/wiki/Victoria_International_Airport,48.6472,-123.426,YYJ,CYYJ,CA,NA,2019,1924385,1852962.0,8828d13737fffff,342784.1034858543,1.0,1852962.0,961638.5767266783,8.0,28915543.0,5189194.094961095,11.0,30806585.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
39,39.0,,,,https://en.wikipedia.org/wiki/Whistler/Green_Lake_Water_Aerodrome,50.14360046,-122.9489975,YWS,,CA,NA,,,,8828dad5edfffff,15420.87648141839,1.0,0.0,37759.27771720469,1.0,0.0,2855207.4420181736,5.0,25848914.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
40,40.0,,,,https://en.wikipedia.org/wiki/Williams_Lake_Airport,52.1833,-122.054,YWL,CYWL,CA,NA,,,,881289a087fffff,21210.0427325538,1.0,0.0,26136.618979501927,1.0,0.0,64012.51104987553,2.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
41,41.0,,22974.0,22974.0,https://en.wikipedia.org/wiki/Churchill_Airport,58.739166666667,-94.066388888889,YYQ,CYYQ,CA,NA,2019,22974,22974.0,880e8041bbfffff,875.3161105942063,1.0,22974.0,863.8324222606607,1.0,22974.0,861.1384440432325,1.0,22974.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
42,42.0,,,,https://en.wikipedia.org/wiki/Lt._Col_W.G._(Billy)_Barker_VC_Airport,51.1008,-100.052,YDN,CYDN,CA,NA,2017,0,,8827108529fffff,12139.018082049623,1.0,0.0,24478.26064529167,1.0,0.0,93265.72744789878,2.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
43,43.0,2424.0,,,https://en.wikipedia.org/wiki/Flin_Flon_Airport,54.678055555556,-101.68194444444,YFO,CYFO,CA,NA,,,,88126b7257fffff,9543.917466687859,1.0,0.0,9878.431795176677,1.0,0.0,30462.51891972392,2.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
44,44.0,,,,https://en.wikipedia.org/wiki/Gillam_Airport,56.357777777778,-94.710833333333,YGX,CYGX,CA,NA,,,,880e9d4e99fffff,526.959072723125,1.0,0.0,1651.9147296415115,1.0,0.0,4620.057174389554,2.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
45,45.0,,,8857.0,https://en.wikipedia.org/wiki/Gods_Lake_Narrows_Airport,54.558888888889,-94.491388888889,YGO,CYGO,CA,NA,,,8857.0,8827268f4dfffff,1631.5742855504443,1.0,8857.0,2222.8001569027215,2.0,15880.0,13017.830798443438,5.0,54554.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
46,46.0,,,7023.0,https://en.wikipedia.org/wiki/Gods_River_Airport,54.839722222222,-94.078611111111,ZGI,CZGI,CA,NA,,,7023.0,880e992c07fffff,695.1924995046951,1.0,7023.0,2213.7175691868993,2.0,15880.0,12973.599326057054,5.0,54554.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
47,47.0,,,18567.0,https://en.wikipedia.org/wiki/Island_Lake_Airport,53.857222222222,-94.653611111111,YIV,CYIV,CA,NA,,,18567.0,8827262845fffff,7631.71750541532,2.0,38674.0,7781.809945642522,2.0,38674.0,14244.512936715695,6.0,62713.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
