,departure_continent,departure_continent_name,arrival_continent,arrival_continent_name,seats,ask,fuel_burn,co2,CO2 (Mt),ASK (Bn),Seats (Mn),dep_lon,dep_lat,arr_lon,arr_lat
26,OC,Oceania,EU,Europe,441477.8381463178,7268406410.151123,210714756.9049317,665858631.8195843,0.6658586318195843,7.268406410151123,0.4414778381463178,173.7741688,-12.7725835,0.0,51.0
27,OC,Oceania,NA,North America,14287769.624094516,89737399051.93877,2184281192.6180034,6902328568.672891,6.90232856867289,89.73739905193877,14.287769624094516,173.7741688,-12.7725835,-119.0,51.0000002
28,OC,Oceania,OC,Oceania,128069866.37820727,148245157620.05045,3918998262.218641,12384034508.610905,12.384034508610904,148.24515762005043,128.06986637820728,173.7741688,-12.7725835,163.7741688,-12.7725835
29,OC,Oceania,SA,South America,320789.3219999998,3414570645.0500765,90332905.0985498,285451980.1114174,0.28545198011141737,3.414570645050077,0.32078932199999977,173.7741688,-12.7725835,-71.00065649999999,-21.0002179
30,SA,South America,AF,Africa,559250.5069468577,4059008163.3939843,97921148.87942104,309430830.4589705,0.30943083045897046,4.059008163393984,0.5592505069468577,-61.0006565,-21.0002179,7.7578122,11.5024338
31,SA,South America,AS,Asia,626067.026304381,7747617788.566826,209337929.8663584,661507858.3776926,0.6615078583776925,7.747617788566826,0.626067026304381,-61.0006565,-21.0002179,79.2343748,51.2086975
32,SA,South America,EU,Europe,9739565.400243994,89249801873.90709,2268162800.805562,7167394450.545577,7.167394450545577,89.24980187390709,9.739565400243993,-61.0006565,-21.0002179,0.0,51.0
33,SA,South America,NA,North America,19022258.176377416,78645171430.85344,1913061239.4214168,6045273516.571677,6.045273516571678,78.64517143085344,19.022258176377413,-61.0006565,-21.0002179,-119.0,51.0000002
34,SA,South America,OC,Oceania,320789.3219999998,3414570645.050077,90332905.0985498,285451980.11141735,0.28545198011141737,3.414570645050077,0.3207893219999998,-61.0006565,-21.0002179,163.7741688,-12.7725835
35,SA,South America,SA,South America,235647431.18590537,236285453430.03973,6556597598.551493,20718848411.422718,20.71884841142272,236.28545343003972,235.64743118590536,-61.0006565,-21.0002179,-71.00065649999999,-21.0002179
