,airline_link,airline_name,airline_iata,airline_icao
1004,https://en.wikipedia.org/wiki/Northern_Air_(Fiji),Northern Air,—,FJN
1005,https://en.wikipedia.org/wiki/Pacific_Island_Air,Pacific Island Air,,
1006,https://en.wikipedia.org/wiki/Air_Moana,Air Moana,,
1007,https://en.wikipedia.org/wiki/Star_Marianas_Air,Star Marianas Air,,
1008,https://en.wikipedia.org/wiki/Air_Kiribati,Air Kiribati,IK,AKL
1009,https://en.wikipedia.org/wiki/Air_Marshall_Islands,Air Marshall Islands,—,MRS
1010,https://en.wikipedia.org/wiki/Caroline_Islands_Air,Caroline Islands Air,,
1011,https://en.wikipedia.org/wiki/Pacific_Missionary_Aviation,Edmund Kalau,,
1012,https://en.wikipedia.org/wiki/Air_Caledonie,Air Calédonie,TY,TPC
1013,https://en.wikipedia.org/wiki/Air_Cal%C3%A9donie,Air Calédonie,TY,TPC
1014,https://en.wikipedia.org/wiki/Belau_Air,Belau Air,,
1015,https://en.wikipedia.org/wiki/Pacific_Mission_Aviation,Edmund Kalau,,
1016,https://en.wikipedia.org/wiki/Urumqi_Airlines,Urumqi Air,UQ,CUH
1017,https://en.wikipedia.org/wiki/Vietjet_Air,VietJet Air,VJ,VJC
1018,https://en.wikipedia.org/wiki/Air_Mandalay,Air Mandalay,6T,AMY
1019,https://en.wikipedia.org/wiki/Air_Transport_International,Air Transport International,8C,ATN
1020,https://en.wikipedia.org/wiki/Air_Excel,Air Excel,—,XLL
1021,https://en.wikipedia.org/wiki/Safari_Plus,Safari Plus,,
