,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
581,Q1708799,Rukumkot Airport,VNCJ,RUK,208567,82.194166666667,28.627222222222,762,,,,,https://en.wikipedia.org/wiki/Chaurjahari_Airport,HRJ,VNCJ,,,
582,Q7379320,Rumjatar Airport,VNRT,RUM,,86.550555555556,27.303611111111,1372,,805,1738,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Rumjatar_Airport,RUM,VNRT,,,
583,Q3500850,Simara Airport,VNSI,SIF,,84.98,27.159444444444,137,,134573,231291,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Simara_Airport,SIF,VNSI,,,
584,Q8214541,Simikot Airport,VNST,IMK,4341,81.818888888889,29.971111111111,2818.1863476,,138104,138104,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Simikot_Airport,IMK,VNST,,,
585,Q1756900,Surkhet Airport,VNSK,SKH,47914,81.635833333333,28.585833333333,72,,19941,25576,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Surkhet_Airport,SKH,VNSK,,,
586,Q63860,Taplejung Airport,VNTJ,TPJ,,87.697166666667,27.351527777778,732,,2097,2691,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Taplejung_Airport,TPJ,VNTJ,,,
587,Q667965,Tumlingtar Airport,VNTR,TMI,,87.193333333333,27.315,518,,37464,37464,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Tumlingtar_Airport,TMI,VNTR,,,
588,Q2237440,Bahawalpur Airport,OPBW,BHV,762111,71.717777777778,29.348055555556,119,,,,,https://en.wikipedia.org/wiki/Bahawalpur_Airport,BHV,OPBW,"34,493",932,(2017–18[4])
589,Q2237915,Chitral Airport,OPCH,CJL,31100,71.799917,35.886192,1500,,,,,https://en.wikipedia.org/wiki/Chitral_Airport,CJL,OPCH,"8,467",386,(2017-18[4])
590,Q1658016,Dalbandin Airport,OPDB,DBA,,64.404444444444,28.875,848,,,,,https://en.wikipedia.org/wiki/Dalbandin_Airport,DBA,OPDB,"3,552",102,(2016-17[1])
591,Q609603,Dera Ghazi Khan International Airport,OPDG,DEA,399064,70.485833333333,29.960833333333,148,,,,,https://en.wikipedia.org/wiki/Dera_Ghazi_Khan_Airport,DEA,OPDG,"12,059",322,(2016-17[3])
592,Q1657797,Dera Ismail Khan Airport,OPDI,DSK,109686,70.896388888889,31.909166666667,181,,,,,https://en.wikipedia.org/wiki/Dera_Ismail_Khan_Airport,DSK,OPDI,,,
593,Q31580,Faisalabad International Airport,OPFA,LYP,3203846,72.994722222222,31.365,185.0139642,,,,,https://en.wikipedia.org/wiki/Faisalabad_International_Airport,LYP,OPFA,"360,524","8,023",(2018-19)
594,Q2985800,Gilgit Airport,OPGT,GIL,8851,74.333611111111,35.918611111111,1462,,,,,https://en.wikipedia.org/wiki/Gilgit_Airport,GIL,OPGT,"45,137","1,286",(2018–19[1][2][3])
595,Q2639197,Gwadar International Airport,OPGD,GWD,,62.329444444444,25.233055555556,29,,,,,https://en.wikipedia.org/wiki/Gwadar_International_Airport,GWD,OPGD,"33,948",828,(2017-18[4])
596,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Benazir_Bhutto_International_Airport,ISB,OPRN,,,
597,,,,,,,,,,,,,https://en.wikipedia.org/wiki/List_of_airports_in_Pakistan,,,,,
598,Q61052,Jinnah International Airport,OPKC,KHI,14910352,67.160833333333,24.906666666667,30.48006,3400,,7267582,,https://en.wikipedia.org/wiki/Jinnah_International_Airport,KHI,OPKC,2.80,"58,004",(2019-20[3])
599,Q60879,Allama Iqbal International Airport,OPLA,LHE,11126285,74.4025,31.521388888889,212.7508188,3360,,4490182,,https://en.wikipedia.org/wiki/Allama_Iqbal_International_Airport,LHE,OPLA,"9,037,951","37,",(2021–22)
600,Q3545782,Moenjodaro Airport,OPMJ,MJD,,68.143055555556,27.335277777778,47,,,,,https://en.wikipedia.org/wiki/Moenjo_Daro_Airport,MJD,OPMJ,284,436,(2016-17[1])
601,Q31569,Multan International Airport,OPMT,MUX,1871843,71.419166666667,30.203333333333,122,,,,,https://en.wikipedia.org/wiki/Multan_International_Airport,MUX,OPMT,"1,339,179","8,335",(2019-2020)
602,Q3502854,Panjgur Airport,OPPG,PJG,,64.1325,26.954722222222,1002,,,,,https://en.wikipedia.org/wiki/Panjgur_Airport,PJG,OPPG,"8,750",238,(2016-17[1])
603,Q3502842,Pasni Airport,OPPI,PSI,61396,63.345277777778,25.290555555556,10,,,,,https://en.wikipedia.org/wiki/Pasni_Airport,PSI,OPPI,,,
604,Q1516769,Bacha Khan International Airport,OPPS,PEW,1970042,71.514722222222,33.993888888889,352.9590948,2743,,,,https://en.wikipedia.org/wiki/Bacha_Khan_International_Airport,PEW,OPPS,"1,","10,736",(2017-18)
605,Q31581,Quetta International Airport,OPQT,UET,1001205,66.93868,30.252145,1605.3847602,,,,,https://en.wikipedia.org/wiki/Quetta_International_Airport,UET,OPQT,"417,522","3,846",(2017-18)
