,region,product,year,flow,volume,iea_code,Country,ISO3,OECD,CONTI,UE 28,level,UN_region,OECD_Region,volume_numeric,CO2e estimation
12821413,JAPAN,NONBIOJETK,2019,DOMESAIR,3314.748,JAPAN,Japan,JPN,OECD,ASIAPAC,NO,country,UNASIA,OECDAO,3314.748,10474.60368
12941297,JORDAN,NONBIOJETK,2019,AVBUNK,-396.568,JORDAN,Jordan,JOR,NONOECD,MIDDLE EAST,NO,country,UNASIA,MIDEAST,396.568,1253.15488
12941301,JORDAN,NONBIOJETK,2019,DOMESAIR,0.835,JORDAN,Jordan,JOR,NONOECD,MIDDLE EAST,NO,country,UNASIA,MIDEAST,0.835,2.6386
13165334,KAZAKHSTAN,NONBIOJETK,2019,AVBUNK,-460.765,KAZAKHSTAN,Kazakhstan,KAZ,NONOECD,EUROPE,NO,country,UNASIA,EURASIA,460.765,1456.0174
13165340,KAZAKHSTAN,NONBIOJETK,2019,DOMESAIR,124.000,KAZAKHSTAN,Kazakhstan,KAZ,NONOECD,EUROPE,NO,country,UNASIA,EURASIA,124.0,391.84000000000003
13355138,KENYA,NONBIOJETK,2019,AVBUNK,-699.400,KENYA,Kenya,KEN,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,699.4,2210.104
13501214,KOREA,NONBIOJETK,2019,AVBUNK,-5299.546,KOREA,Korea,KOR,OECD,ASIAPAC,NO,country,UNASIA,OECDAO,5299.546,16746.56536
13501224,KOREA,NONBIOJETK,2019,DOMESAIR,1036.983,KOREA,Korea,KOR,OECD,ASIAPAC,NO,country,UNASIA,OECDAO,1036.983,3276.86628
13910036,KOSOVO,NONBIOJETK,2019,AVBUNK,-2.418,KOSOVO,Kosovo,UNK,NONOECD,EUROPE,NO,country,UNEUROPE,EURASIA,2.418,7.640880000000001
14124172,KUWAIT,NONBIOJETK,2019,AVBUNK,-937.943,KUWAIT,Kuwait,KWT,NONOECD,MIDDLE EAST,NO,country,UNASIA,MIDEAST,937.943,2963.89988
14344575,KYRGYZSTAN,NONBIOJETK,2019,AVBUNK,-9.931,KYRGYZSTAN,Kyrgyzstan,KGZ,NONOECD,EUROPE,NO,country,UNASIA,EURASIA,9.931,31.38196
14344585,KYRGYZSTAN,NONBIOJETK,2019,DOMESAIR,1.104,KYRGYZSTAN,Kyrgyzstan,KGZ,NONOECD,EUROPE,NO,country,UNASIA,EURASIA,1.104,3.4886400000000006
14660162,LAO,NONBIOJETK,2019,AVBUNK,-49.254,LAO,Lao People's Democratic Republic,LAO,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,49.254,155.64264
